TS:,7071,0001,1,LTN,S,1,,23280,SD,,E,,,090000
TI:,7071,0001,1,LTN,P,1,23455,23475,4,,P,,,091004
TI:,7071,0001,1,DEB,P,1,23605,23625,2,1,P,,,092002
TI:,7071,0001,1,THB,P,1,23800,23820,2,,P,,,093002
TL:,7071,0001,1,EPP,P,1,23985,,1,,P,,,094001
TF:,7071,0001,2,EPP,P,2,,24645,1,,P,,,094001
TI:,7071,0001,2,THB,P,2,24786,24810,1,,P,,,093001
TI:,7071,0001,2,DEB,P,2,24998,25020,1,,P,,,092001
TI:,7071,0001,2,LTN,P,2,25193,25245,1,,P,,,091001
TI:,7071,0001,2,BHL,P,2,25367,25395,1,,P,,,089001
TI:,7071,0001,2,WDJ,J,2,,25470,0,,P,1,,074050
TI:,7071,0001,2,WFD,P,2,25555,25575,2,2,P,,,073002
TI:,7071,0001,2,WFW,T,2,,25635,0,,P,1,,072050
TI:,7071,0001,2,SWF,P,2,25690,25710,1,,P,,,071001
TI:,7071,0001,2,SNB,P,2,25810,25830,1,,P,,,070001
TI:,7071,0001,2,LYS,P,2,25990,26070,2,,P,,,063002
TI:,7071,0001,2,LEY,P,2,26200,26220,1,,P,,,062001
TI:,7071,0001,2,SFD,P,2,26380,26400,3,,P,,,061003
TI:,7071,0001,2,MLE,P,2,26590,26610,1,,P,,,060001
TI:,7071,0001,2,BNG,P,2,26755,26775,1,,P,,,059001
TI:,7071,0001,2,LST,P,2,26950,26970,5,,P,,,058005
TI:,7071,0001,2,BNK,P,2,27070,27090,5,,P,,,056005
TI:,7071,0001,2,STP,P,2,27190,27210,1,,P,,,054001
TI:,7071,0001,2,CYL,P,2,27310,27330,1,,P,,,052001
TI:,7071,0001,2,HOL,P,2,27385,27405,1,,P,,,050001
TI:,7071,0001,2,TCR,P,2,27490,27510,1,,P,,,048001
TI:,7071,0001,2,OXC,P,2,27565,27585,1,,P,,,046001
TI:,7071,0001,2,BDS,P,2,27655,27675,1,,P,,,044001
TI:,7071,0001,2,MAR,P,2,27745,27765,1,,P,,,042001
TI:,7071,0001,2,LAN,P,2,27865,27885,1,,P,,,041001
TI:,7071,0001,2,QWY,P,2,27985,28005,1,,P,,,040001
TI:,7071,0001,2,NHG,P,2,28075,28095,4,,P,,,037004
TI:,7071,0001,2,HPK,P,2,28165,28185,1,,P,,,035001
TI:,7071,0001,2,SBC,P,2,28270,28290,1,,P,,,033001
TI:,7071,0001,2,WCT,P,2,28465,28515,1,,P,,,030001
TI:,7071,0001,2,EAC,P,2,28660,28680,1,,P,,,024001
TL:,7071,0001,2,NAC,P,2,28800,,2,,P,,,020002
TF:,7071,0001,3,NAC,P,1,,29355,2,,P,,,020002
TI:,7071,0001,3,EAC,P,1,29440,29460,2,,P,,,024002
TI:,7071,0001,3,WCT,P,1,29620,29670,4,,P,,,030004
TI:,7071,0001,3,SBC,P,1,29815,29835,2,,P,,,033002
TI:,7071,0001,3,HPK,P,1,29920,29940,2,,P,,,035002
TI:,7071,0001,3,NHG,P,1,30010,30030,3,,P,,,037003
TI:,7071,0001,3,QWY,P,1,30100,30120,2,,P,,,040002
TI:,7071,0001,3,LAN,P,1,30190,30210,2,,P,,,041002
TI:,7071,0001,3,MAR,P,1,30340,30360,2,,P,,,042002
TI:,7071,0001,3,BDS,P,1,30430,30450,2,,P,,,044002
TI:,7071,0001,3,OXC,P,1,30520,30540,2,,P,,,046002
TI:,7071,0001,3,TCR,P,1,30595,30615,2,,P,,,048002
TI:,7071,0001,3,HOL,P,1,30730,30750,2,,P,,,050002
TI:,7071,0001,3,CYL,P,1,30805,30825,2,,P,,,052002
TI:,7071,0001,3,STP,P,1,30925,30945,2,,P,,,054002
TI:,7071,0001,3,BNK,P,1,31045,31065,6,,P,,,056006
TI:,7071,0001,3,LST,P,1,31180,31200,4,,P,,,058004
TI:,7071,0001,3,BNG,P,1,31360,31380,2,,P,,,059002
TI:,7071,0001,3,MLE,P,1,31495,31515,4,,P,,,060004
TI:,7071,0001,3,SFD,P,1,31705,31725,6,,P,,,061006
TI:,7071,0001,3,LEY,P,1,31870,31890,2,,P,,,062002
TI:,7071,0001,3,LYS,P,1,32035,32085,3,,P,,,063003
TI:,7071,0001,3,SNB,P,1,32200,32220,2,,P,,,070002
TI:,7071,0001,3,SWF,P,1,32320,32340,2,,P,,,071002
TI:,7071,0001,3,WFW,T,1,,32400,0,,P,1,,072040
TI:,7071,0001,3,WFD,P,1,32455,32475,3,,P,,,073003
TI:,7071,0001,3,WDJ,J,1,,32550,0,,P,1,,074040
TI:,7071,0001,3,BHL,P,1,32605,32625,2,,P,,,089002
TI:,7071,0001,3,LTN,P,1,32755,32790,4,,P,,,091004
TI:,7071,0001,3,DEB,P,1,32920,32940,2,1,P,,,092002
TI:,7071,0001,3,THB,P,1,33115,33135,2,,P,,,093002
TL:,7071,0001,3,EPP,P,1,33300,,1,,P,,,094001
TF:,7071,0001,4,EPP,P,2,,33960,1,,P,,,094001
TI:,7071,0001,4,THB,P,2,34101,34125,1,,P,,,093001
TI:,7071,0001,4,DEB,P,2,34313,34335,1,,P,,,092001
TI:,7071,0001,4,LTN,P,2,34508,34560,1,,P,,,091001
TI:,7071,0001,4,BHL,P,2,34682,34710,1,,P,,,089001
TI:,7071,0001,4,WDJ,J,2,,34785,0,,P,1,,074050
TI:,7071,0001,4,WFD,P,2,34870,34890,2,2,P,,,073002
TI:,7071,0001,4,WFW,T,2,,34950,0,,P,1,,072050
TI:,7071,0001,4,SWF,P,2,35005,35025,1,,P,,,071001
TI:,7071,0001,4,SNB,P,2,35125,35145,1,,P,,,070001
TI:,7071,0001,4,LYS,P,2,35305,35355,2,,P,,,063002
TI:,7071,0001,4,LEY,P,2,35470,35490,1,,P,,,062001
TI:,7071,0001,4,SFD,P,2,35650,35670,3,,P,,,061003
TI:,7071,0001,4,MLE,P,2,35860,35880,1,,P,,,060001
TI:,7071,0001,4,BNG,P,2,36025,36045,1,,P,,,059001
TI:,7071,0001,4,LST,P,2,36220,36240,5,,P,,,058005
TI:,7071,0001,4,BNK,P,2,36340,36360,5,,P,,,056005
TI:,7071,0001,4,STP,P,2,36460,36480,1,,P,,,054001
TI:,7071,0001,4,CYL,P,2,36580,36600,1,,P,,,052001
TI:,7071,0001,4,HOL,P,2,36655,36675,1,,P,,,050001
TI:,7071,0001,4,TCR,P,2,36760,36780,1,,P,,,048001
TI:,7071,0001,4,OXC,P,2,36835,36855,1,,P,,,046001
TI:,7071,0001,4,BDS,P,2,36925,36945,1,,P,,,044001
TI:,7071,0001,4,MAR,P,2,37015,37035,1,,P,,,042001
TI:,7071,0001,4,LAN,P,2,37120,37140,1,,P,,,041001
TI:,7071,0001,4,QWY,P,2,37240,37260,1,,P,,,040001
TI:,7071,0001,4,NHG,P,2,37330,37350,4,,P,,,037004
TI:,7071,0001,4,HPK,P,2,37420,37440,1,,P,,,035001
TI:,7071,0001,4,SBC,P,2,37525,37545,1,,P,,,033001
TI:,7071,0001,4,WCT,P,2,37720,37770,1,,P,,,030001
TI:,7071,0001,4,EAC,P,2,37915,37935,1,,P,,,024001
TI:,7071,0001,4,NAC,P,2,38035,38055,1,,P,,,020001
TI:,7071,0001,4,NAJ,J,2,,38085,0,,P,1,,018050
TI:,7071,0001,4,HLN,P,2,38230,38250,1,,P,,,009001
TI:,7071,0001,4,PER,P,2,38380,38400,1,,P,,,008001
TI:,7071,0001,4,GFD,P,2,38515,38535,1,,P,,,007001
TI:,7071,0001,4,NHT,P,2,38650,38670,1,,P,,,006001
TI:,7071,0001,4,SRP,P,2,38800,38820,1,,P,,,005001
TI:,7071,0001,4,RUG,P,2,38905,38925,1,,P,,,004001
TL:,7071,0001,4,WRP,P,2,39105,,2,,P,,,002002
TF:,7071,0001,5,WRP,P,1,,39885,2,,P,,,002002
TI:,7071,0001,5,RUG,P,1,40011,40035,2,,P,,,004002
TI:,7071,0001,5,SRP,P,1,40105,40125,2,,P,,,005002
TI:,7071,0001,5,NHT,P,1,40268,40290,2,,P,,,006002
TI:,7071,0001,5,GFD,P,1,40403,40425,3,,P,,,007003
TI:,7071,0001,5,PER,P,1,40517,40545,2,,P,,,008002
TI:,7071,0001,5,HLN,P,1,40680,40695,2,,P,,,009002
TI:,7071,0001,5,NAJ,J,1,,40845,0,,P,1,,018040
TI:,7071,0001,5,NAC,P,1,40885,40905,3,,P,,,020003
TI:,7071,0001,5,EAC,P,1,40990,41010,2,,P,,,024002
TI:,7071,0001,5,WCT,P,1,41170,41220,4,,P,,,030004
TI:,7071,0001,5,SBC,P,1,41365,41385,2,,P,,,033002
TI:,7071,0001,5,HPK,P,1,41470,41490,2,,P,,,035002
TI:,7071,0001,5,NHG,P,1,41560,41580,3,,P,,,037003
TI:,7071,0001,5,QWY,P,1,41650,41670,2,,P,,,040002
TI:,7071,0001,5,LAN,P,1,41740,41760,2,,P,,,041002
TI:,7071,0001,5,MAR,P,1,41890,41910,2,,P,,,042002
TI:,7071,0001,5,BDS,P,1,41965,41985,2,,P,,,044002
TI:,7071,0001,5,OXC,P,1,42055,42075,2,,P,,,046002
TI:,7071,0001,5,TCR,P,1,42130,42150,2,,P,,,048002
TI:,7071,0001,5,HOL,P,1,42250,42270,2,,P,,,050002
TI:,7071,0001,5,CYL,P,1,42325,42345,2,,P,,,052002
TI:,7071,0001,5,STP,P,1,42430,42450,2,,P,,,054002
TI:,7071,0001,5,BNK,P,1,42550,42570,6,,P,,,056006
TI:,7071,0001,5,LST,P,1,42685,42705,4,,P,,,058004
TI:,7071,0001,5,BNG,P,1,42865,42885,2,,P,,,059002
