TS:,7816,0001,1,ECM,D,1,,22920,0,,E,,,218000
TI:,7816,0001,1,ACT,P,1,23110,23130,4,,P,,,234004
TI:,7816,0001,1,CHP,P,1,23228,23250,2,,P,,,237002
TI:,7816,0001,1,TGR,P,1,23415,23430,4,,P,,,242004
TI:,7816,0001,1,STB,P,1,23500,23520,3,,P,,,243003
TI:,7816,0001,1,RCP,P,1,23590,23610,4,,P,,,244004
TI:,7816,0001,1,HMD,P,1,23740,23790,4,,P,,,245004
TI:,7816,0001,1,BCT,P,1,23860,23880,4,,P,,,246004
TI:,7816,0001,1,WKN,P,1,23950,23970,2,,P,,,248002
TI:,7816,0001,1,WKE,T,1,,24030,EB,,P,1,,319040
TI:,7816,0001,1,ECT,P,1,24160,24180,1,,P,,,320001
TI:,7816,0001,1,TRI,B,1,,24270,EB,,P,1,,321040
TL:,7816,0001,1,HST,P,1,24390,,3,,P,,,322003
TF:,7816,0001,2,HST,P,2,,25080,3,,P,,,322003
TI:,7816,0001,2,TRI,T,2,,25140,0,,P,1,,321050
TI:,7816,0001,2,ECT,P,2,25240,25350,4,,P,,,320004
TI:,7816,0001,2,WBT,P,2,25420,25440,1,,P,,,318001
TI:,7816,0001,2,FBY,P,2,25540,25560,1,,P,,,317001
TI:,7816,0001,2,PGR,P,2,25660,25680,1,,P,,,315001
TI:,7816,0001,2,PUT,P,2,25810,25830,3,,P,,,314003
TI:,7816,0001,2,EPY,P,2,25930,25950,2,,P,,,309002
TI:,7816,0001,2,SFS,P,2,26080,26100,2,,P,,,308002
TI:,7816,0001,2,WMP,P,2,26200,26220,2,,P,,,307002
TL:,7816,0001,2,WDN,P,2,26430,,2,,P,,,305002
TF:,7816,0001,3,WDN,P,1,,27180,2,,P,,,305002
TI:,7816,0001,3,WMP,P,1,27310,27330,1,,P,,,307001
TI:,7816,0001,3,SFS,P,1,27460,27480,1,,P,,,308001
TI:,7816,0001,3,EPY,P,1,27610,27630,1,,P,,,309001
TI:,7816,0001,3,PUT,P,1,27760,27780,1,,P,,,314001
